image_path,pred_score,pred_label
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\000.png,0.9580055475234985,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\001.png,0.9382681846618652,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\002.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\003.png,0.9509161710739136,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\004.png,0.9629992842674255,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\005.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\006.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\007.png,0.8608011603355408,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\008.png,0.8557724952697754,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\009.png,0.782775342464447,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\010.png,0.7985280752182007,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\011.png,0.7791928648948669,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\012.png,0.9384870529174805,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\013.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\014.png,0.9165533185005188,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\015.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\016.png,0.8277398347854614,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\017.png,0.8766427040100098,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\018.png,0.8865419626235962,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_large\019.png,0.8536242246627808,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\000.png,0.6548711061477661,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\001.png,0.9195846319198608,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\002.png,0.971034824848175,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\003.png,0.9924187660217285,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\004.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\005.png,0.8231976628303528,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\006.png,0.8945420980453491,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\007.png,0.8077163696289062,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\008.png,0.8047338724136353,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\009.png,0.9345597624778748,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\010.png,0.8804856538772583,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\011.png,0.8444375991821289,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\012.png,0.8425615429878235,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\013.png,0.9024510383605957,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\014.png,0.7968024611473083,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\015.png,0.8636319637298584,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\016.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\017.png,0.8954341411590576,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\018.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\019.png,0.9184554815292358,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\020.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\broken_small\021.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\000.png,0.7017422318458557,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\001.png,0.606385350227356,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\002.png,0.8251180648803711,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\003.png,0.5,False
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\004.png,0.5861794352531433,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\005.png,0.7676222920417786,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\006.png,0.672387421131134,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\007.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\008.png,0.7405799627304077,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\009.png,0.8009244203567505,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\010.png,0.8101631999015808,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\011.png,0.6613542437553406,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\012.png,0.5391218066215515,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\013.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\014.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\015.png,0.9159793257713318,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\016.png,0.6230290532112122,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\017.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\018.png,1.0,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\019.png,0.5082902908325195,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\contamination\020.png,0.5804454684257507,True
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\good\000.png,0.45065104961395264,False
C:\Users\User\countrerfactual_anomaly_detection\data\mvtec\bottle\test\good\001.png,0.44588980078697205,False
